state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
PA,42,Pennsylvania,12807060,2020-06-02 15:35:34.457534 UTC,2020-05-16,7,Post,F,1,-0.23214125004466205,F,1,-0.49453885889086396,F,1,-0.10742961820408248,F,1
PA,42,Pennsylvania,12807060,2020-06-02 15:35:34.457534 UTC,2020-05-05,3,Post,F,1.3,-0.30951636559832058,D,2,-0.4818192387918504,F,1,-0.352817640530556,F,1
PA,42,Pennsylvania,12807060,2020-06-02 15:35:34.457534 UTC,2020-04-18,7,Post,C,3,-0.46871390352703257,C,3,-0.68447307293762116,B,4,-0.64413909741590214,D,2
PA,42,Pennsylvania,12807060,2020-06-02 15:35:34.457534 UTC,2020-04-08,4,Post,C-,2.7,-0.4411116921978126,C,3,-0.64253202195768477,C,3,-0.69993527498967034,D,2
PA,42,Pennsylvania,12807060,2020-06-02 15:35:34.457534 UTC,2020-03-18,4,Post,F,1.3,-0.18983202830201795,F,1,-0.5122669211189218,F,1,-0.41449019099898776,D,2
VA,51,Virginia,8517685,2020-06-02 15:35:34.457534 UTC,2020-03-16,2,Post,F,1,-0.15228811281630489,F,1,-0.21359098543681637,F,1,-0.19224224095462283,F,1
LA,22,Louisiana,4659978,2020-06-02 15:35:34.457534 UTC,2020-05-14,5,Post,F,1,-0.21705926402623968,F,1,-0.39950817761637658,F,1,-0.22226057342509531,F,1
LA,22,Louisiana,4659978,2020-06-02 15:35:34.457534 UTC,2020-03-12,5,Post,F,1,-0.027629872701101565,F,1,0.050289649404850818,F,1,0.277294748923711,F,1
TX,48,Texas,28701845,2020-06-02 15:35:34.457534 UTC,2020-05-11,2,Post,F,1,-0.19089705648338429,F,1,-0.2784887178240803,F,1,-0.14688759091824188,F,1
TX,48,Texas,28701845,2020-06-02 15:35:34.457534 UTC,2020-05-06,4,Post,F,1,-0.20694017368199483,F,1,-0.3177364282037648,F,1,-0.0728913553764805,F,1
